geometry;name;indexOfID;id
MULTIPOLYGON(((34.0616181872911 -118.297956402579,34.0616239414707 -118.296967493193,34.0615741602331 -118.296967316478,34.0615485030395 -118.297952165962,34.0616181872911 -118.297956402579)));Robert F Kennedy Inspiration Park;0;1
MULTIPOLYGON(((34.1013378612956 -118.201098257608,34.1011327633833 -118.201098585821,34.1012397891518 -118.200982309298,34.1012875769602 -118.200929509733,34.101336505909 -118.200873561347,34.1013466509715 -118.20086154867,34.1013258215572 -118.200828731902,34.1010773596664 -118.201098669322,34.1000427675827 -118.202222659976,34.099559575222 -118.20274759256,34.0995142416765 -118.202795981991,34.0994682137355 -118.202843414936,34.0994215040507 -118.202889874086,34.0993741270693 -118.202935346472,34.0993260963412 -118.202979816957,34.0992774281128 -118.203023274742,34.0992281359357 -118.203065703606,34.0991782351568 -118.203107091667,34.0991277420248 -118.203147427044,34.0991268998997 -118.203148019953,34.0991250519939 -118.203149490388,34.0991219980334 -118.203151918058,34.0990708622866 -118.203191067328,34.0990191657878 -118.203229136901,34.0989669247839 -118.20326611598,34.0989141537167 -118.203301994849,34.0989069451345 -118.203306782466,34.0980860777471 -118.203850505324,34.0979963186302 -118.203955216074,34.0976870405959 -118.204160070946,34.0977314358507 -118.204281522119,34.0980719405071 -118.2052130393,34.0980878579945 -118.205192301796,34.0981036673468 -118.205171002665,34.0981191463961 -118.20514937219,34.0981342968883 -118.205127443968,34.0981491459261 -118.205105184472,34.0981636655617 -118.205082593634,34.0981778556813 -118.205059738643,34.0981917173018 -118.205036551227,34.0983784779026 -118.204719448008,34.0983967757297 -118.20468890545,34.0984155398666 -118.204658761736,34.0984347432731 -118.204629013551,34.0984543570952 -118.204599664073,34.0984744110303 -118.204570744802,34.0984948482826 -118.2045422556,34.0985157247452 -118.204514197686,34.098537012473 -118.204486569909,34.0985586843653 -118.204459404714,34.0985807395741 -118.20443267067,34.0986032068386 -118.20440643287,34.0986260303214 -118.204380657583,34.0986492099639 -118.204355379487,34.0986727737725 -118.204330563972,34.0986966936847 -118.204306279244,34.0987209706628 -118.204282489541,34.0987455758546 -118.204259196962,34.0987705101088 -118.204236432936,34.0987970112033 -118.20421314496,34.0988226305701 -118.204191472784,34.0988485510511 -118.204170330177,34.0988747456024 -118.20414971599,34.0989012691041 -118.204129697546,34.0989280666749 -118.204110208607,34.0989551373037 -118.204091314191,34.0989824819454 -118.204072982874,34.0990101006021 -118.204055213574,34.0990379662282 -118.204038006224,34.0990660769093 -118.204021426926,34.0990944345604 -118.204005409579,34.0991229831753 -118.203990020154,34.0991259535676 -118.203988508043,34.0991517787038 -118.203975226275,34.0991807931989 -118.203961027876,34.0992099978138 -118.203947423802,34.0992393951964 -118.203934447656,34.0992689826406 -118.203922100515,34.0992987349057 -118.203910381235,34.0993286502454 -118.203899256217,34.0993362114159 -118.203896566465,34.1017950704394 -118.203026374834,34.1018083786078 -118.203021683118,34.1018624343991 -118.203001830161,34.1019167911595 -118.202983133178,34.1019302357468 -118.202978805918,34.1019713938949 -118.202965593123,34.1020262688045 -118.202949177548,34.1020813617444 -118.202933917753,34.1020823241181 -118.202933655655,34.1022552147414 -118.202887763484,34.1022913636702 -118.20248614061,34.1020784429018 -118.202150641613,34.1014104058839 -118.201098135134,34.1013378612956 -118.201098257608)),((34.0962119671434 -118.205137082727,34.0957766265948 -118.205425421156,34.0958388070852 -118.20553508792,34.0959101318073 -118.205487847464,34.0962741460915 -118.205246750926,34.0962838159716 -118.205240346331,34.0965265294968 -118.205079587464,34.0966478866271 -118.204999209849,34.0967692428066 -118.204918829831,34.0967070617567 -118.204809161222,34.0962119671434 -118.205137082727)));SYCAMORE GROVE PARK;1;2
MULTIPOLYGON(((33.7459987531697 -118.292857602069,33.7461081304455 -118.292857077051,33.7461079469328 -118.292799498197,33.7462041251189 -118.292799037151,33.7462178642148 -118.292798971748,33.7463003024048 -118.292798576102,33.7463277815012 -118.292798444218,33.7463964805935 -118.292798115054,33.7464376996881 -118.29279791777,33.7464366474686 -118.292467337992,33.7464265919772 -118.292465155446,33.7464147590345 -118.292462842606,33.7464028939387 -118.292460776782,33.7463910002931 -118.292458959065,33.7463790826054 -118.292457389471,33.7463671426731 -118.292456070164,33.746355185908 -118.292455000084,33.7463432159161 -118.292454179243,33.7463312353966 -118.29245360981,33.7463266830917 -118.292453488197,33.7463192479607 -118.292453289637,33.7463072581108 -118.292453220899,33.7462167649062 -118.292453644946,33.7461068476572 -118.292454158897,33.7459975975284 -118.292454670854,33.7459987531697 -118.292857602069)));San Pedro Welcome Park;2;3
MULTIPOLYGON(((34.0523195517656 -118.315036140975,34.052387210805 -118.314974280786,34.0523879681315 -118.314973574203,34.0523887155836 -118.314972851337,34.0523894513554 -118.314972113264,34.0523901772501 -118.31497135999,34.0523908923688 -118.314970590428,34.0523915958016 -118.314969807826,34.0523922875542 -118.314969010016,34.0523929676266 -118.314968196998,34.052393636013 -118.31496737094,34.0523942918177 -118.31496652967,34.0523949359336 -118.314965676442,34.0523955674649 -118.314964809087,34.0523961864116 -118.314963927604,34.0523967918637 -118.314963035239,34.0523973847313 -118.314962128746,34.052397964107 -118.314961210288,34.052398529991 -118.314960279865,34.0523990823831 -118.314959337478,34.0523996212779 -118.314958385291,34.0524001457822 -118.314957420054,34.0524006567919 -118.314956443934,34.0524011525011 -118.314955458008,34.0524016347129 -118.314954462284,34.0524021025258 -118.314953456758,34.0524025550409 -118.314952440343,34.0524029931543 -118.314951415209,34.0524034159673 -118.31495038027,34.0524038243756 -118.314949337695,34.0524042165791 -118.314948286393,34.052404594378 -118.314947227456,34.0524049559721 -118.314946159793,34.0524053022573 -118.314945085574,34.0524056332363 -118.314944003715,34.0524059480048 -118.314942915297,34.0524062474644 -118.314941820322,34.0524065307135 -118.314940718788,34.0524067968451 -118.314939612857,34.0524070476676 -118.314938500369,34.0524072831783 -118.314937382409,34.0524075015686 -118.314936261134,34.0524077037456 -118.314935134383,34.0524078897064 -118.314934003239,34.052408058544 -118.314932869864,34.0524082111654 -118.314931732095,34.052408347568 -118.314930591017,34.0524084677459 -118.314929448794,34.0524085708061 -118.314928302174,34.0524086567402 -118.314927154406,34.0524087264498 -118.314926005494,34.0524087808391 -118.314924854359,34.0524175519349 -118.31469864845,34.0524175792792 -118.31469749613,34.0524175912975 -118.314696343751,34.0524175852826 -118.314695192388,34.0524175621416 -118.314694039878,34.0524175227703 -118.314692888389,34.0524174671687 -118.314691737923,34.0524173944326 -118.314690589558,34.0524173054662 -118.314689442216,34.0524171993652 -118.314688296975,34.0524170770312 -118.314687153839,34.0524169375597 -118.314686013889,34.0524167818552 -118.314684876043,34.052416609912 -118.314683742469,34.0524164208285 -118.314682613162,34.0524162155092 -118.314681487044,34.0524159948527 -118.314680365201,34.0524157561487 -118.314679249788,34.0524155030119 -118.314678137571,34.052415233628 -118.314677032874,34.0524149471037 -118.314675932445,34.0524146452339 -118.31467483954,34.0524143280241 -118.314673751993,34.0524139945699 -118.314672670883,34.0524136448685 -118.314671597294,34.052413280723 -118.314670531233,34.0524129003274 -118.314669473775,34.0524125054878 -118.314668423845,34.0524120943981 -118.314667382518,34.0524116688615 -118.314666349802,34.052411228878 -118.314665325697,34.0524107726388 -118.314664312361,34.0524103028542 -118.314663307639,34.0524098186198 -118.314662312611,34.05240931993 -118.314661329443,34.0524088058917 -118.314660354881,34.0524082792011 -118.314659392187,34.052407738055 -118.314658441352,34.0524071833578 -118.314657501297,34.0524066151068 -118.314656573105,34.0524060333019 -118.314655656777,34.0524054379402 -118.314654753395,34.0524048299262 -118.314653861879,34.0524042092542 -118.314652984397,34.0524035750283 -118.314652118777,34.0524029299502 -118.314651266114,34.0524022713098 -118.314650428563,34.0524016009157 -118.314649603966,34.0524009187623 -118.314648794487,34.0524002248524 -118.314647999045,34.052399519186 -118.314647217639,34.052398802659 -118.314646452439,34.0523980752771 -118.314645701278,34.052397336133 -118.31464496632,34.0523965870326 -118.314644246488,34.052395827976 -118.314643541781,34.0523950589575 -118.314642854367,34.0523942799799 -118.314642183162,34.0523934910461 -118.314641527083,34.0523926921503 -118.314640888297,34.0523918841941 -118.314640266806,34.0523910680819 -118.31463966153,34.0523902429065 -118.314639074634,34.0523894095751 -118.314638503953,34.0523885671805 -118.314637951651,34.05238771843 -118.314637416655,34.0523868606163 -118.314636900038,34.0523859964469 -118.314636400726,34.0523851250172 -118.3146359198,34.0523842463274 -118.314635457259,34.0523833612762 -118.314635014191,34.0523824698692 -118.314634588428,34.0523815721006 -118.314634182137,34.052380668875 -118.314633794238,34.0523797601894 -118.314633425815,34.0523788460468 -118.314633075784,34.0523779273457 -118.314632745231,34.0523770040834 -118.314632435241,34.052376075364 -118.314632143643,34.052375143892 -118.314631870447,34.052374207856 -118.314631618896,34.0523732690674 -118.314631385747,34.0523723257176 -118.314631173161,34.0523713805169 -118.31463097898,34.0523704325579 -118.314630805368,34.0523694809392 -118.314630652321,34.0523685283682 -118.314630518766,34.0523675739405 -118.314630405783,34.0523666185605 -118.314630312293,34.0523656613267 -118.314630238291,34.0523647031377 -118.314630184865,34.0523637439936 -118.314630152015,34.0523627857002 -118.314630138663,34.0523204816904 -118.314629999072,34.0523195517656 -118.315036140975)));WILTON PLACE PARK;3;4
MULTIPOLYGON(((33.9394473366121 -118.242214236696,33.9394740804032 -118.24224605265,33.9395154013483 -118.242293807687,33.9395574100861 -118.242340690794,33.9396000940246 -118.24238668787,33.9396434414755 -118.242431783741,33.9396874380437 -118.242475964302,33.9397320702294 -118.242519218697,33.9397773254449 -118.242561530665,33.9398231874878 -118.24260288826,33.9402870922123 -118.242572078421,33.9402416063853 -118.242540437105,33.9401965885404 -118.24250784965,33.940152050379 -118.242474324746,33.9401080072067 -118.242439872172,33.9400644725258 -118.242404501703,33.9400214580292 -118.242368226353,33.939978978123 -118.242331054819,33.9399370453992 -118.242293001198,33.9398956724611 -118.24225407418,33.939854871905 -118.242214285701,33.9398146563209 -118.242173650941,33.9397750383097 -118.242132179671,33.9397360286627 -118.242089884903,33.9396976408735 -118.242046780736,33.9396598857379 -118.24200287802,33.9396227749421 -118.241958193012,33.9395863192817 -118.241912736559,33.9395505304452 -118.24186652384,33.9395154201212 -118.24181957003,33.9394809973 -118.241771887053,33.9394472727665 -118.241723491164,33.9394142573121 -118.241674395375,33.9393819617217 -118.24162461594,33.9393503940775 -118.241574168025,33.9393195660684 -118.241523066806,33.9392894857766 -118.241471327449,33.9392601621821 -118.241418967286,33.9392316051724 -118.241366000405,33.9392038228258 -118.241312444134,33.9391819329671 -118.241268723984,33.9390269533757 -118.240929433355,33.9390202586913 -118.240914076496,33.9384081122038 -118.239508547207,33.9382397652209 -118.239122019399,33.9379499258365 -118.239122785377,33.9379498259666 -118.239168147266,33.938105853723 -118.239527775373,33.9381088484595 -118.239534645762,33.9381806376802 -118.23969933167,33.9382344781026 -118.239822843037,33.9382524275758 -118.239864018944,33.9382883219898 -118.239946362145,33.9382915877299 -118.239953852032,33.9384086693209 -118.240222445332,33.9384091512384 -118.240223549975,33.9386188796525 -118.240704682297,33.9386213188256 -118.240710277013,33.9386677195185 -118.240816748816,33.9387102954215 -118.240914412822,33.9387834495441 -118.241082221213,33.9388634603736 -118.241257263064,33.9389295304445 -118.241401807304,33.9389454492423 -118.241436633166,33.9389549696563 -118.241455831514,33.9389764963004 -118.24149811738,33.938984875454 -118.241514575912,33.9390156308256 -118.241572686801,33.9390186875763 -118.24157824441,33.939023830963 -118.24158759701,33.9390472286009 -118.241630143608,33.9390796561901 -118.241686931155,33.9391129046159 -118.24174303103,33.939146963997 -118.241798425899,33.9391818244504 -118.24185309951,33.9392174742921 -118.241907034522,33.9392539036389 -118.241960214684,33.9392910999009 -118.242012624817,33.9393290540987 -118.242064247588,33.9393677518416 -118.242115066733,33.93940718324 -118.242165069243,33.9394473366121 -118.242214236696)));WATTS CULTURAL CRESCENT;4;5
MULTIPOLYGON(((33.9594345966341 -118.271455008162,33.9594339625479 -118.27158691797,33.9595865064935 -118.271586719096,33.9595871387765 -118.271454809041,33.9595877708981 -118.271322906558,33.959435230559 -118.271323105925,33.959434676101 -118.271438523493,33.9594345966341 -118.271455008162)));WALL STREET COMMUNITY PARK;5;6
MULTIPOLYGON(((34.2307070303177 -118.405684089189,34.2305709296867 -118.405870403297,34.2307039972429 -118.406011071708,34.2311653924657 -118.406498831496,34.2313014599223 -118.406312482186,34.2314647415746 -118.406088861784,34.2316456100701 -118.406280066884,34.2316292001591 -118.406176699367,34.2315927921112 -118.406011839286,34.2315762424431 -118.405936899773,34.2315081153027 -118.405628419891,34.2313812714444 -118.405054074609,34.2312604995376 -118.404926404528,34.2310790350256 -118.405174826143,34.2308703494404 -118.405460509498,34.2307070303177 -118.405684089189)));SOUTH EAST VALLEY ROLLERS & SKATEBOARD PARK;6;7
MULTIPOLYGON(((34.1363248877409 -118.322594437396,34.1362896522156 -118.322594080225,34.1355100091399 -118.322586158711,34.1343010155875 -118.322573875347,34.1342977138351 -118.324042600825,34.1346770114905 -118.324046478169,34.1362991865643 -118.324063066055,34.1362898117366 -118.324598583671,34.1362894613497 -118.324618611672,34.1365409852847 -118.324911118891,34.1366605406458 -118.325359202963,34.1368617311015 -118.325689493858,34.1370351146067 -118.325867995899,34.1370726269084 -118.325993923699,34.1383881644596 -118.325994891394,34.1380091950299 -118.325325708565,34.1364623384918 -118.322594405206,34.1363248877409 -118.322594437396)));CAHUENGA PEAK PHASE ||;7;8
MULTIPOLYGON(((34.2689518682784 -118.465166314034,34.2682628577128 -118.465367288401,34.2685210799335 -118.466651669671,34.2685832855201 -118.466624943449,34.268673050961 -118.466584236977,34.2686822485994 -118.466579291008,34.2687401484207 -118.466543204963,34.2687975028893 -118.466505925653,34.2688543409868 -118.466467418486,34.2689031386992 -118.466433003685,34.2689479180053 -118.46640028757,34.2690031744195 -118.466358594015,34.2690578302361 -118.466315770946,34.2691118305824 -118.466271786564,34.2691652032831 -118.466226672515,34.2689518682784 -118.465166314034)));Andres Pico Adobe;8;31
MULTIPOLYGON(((34.1365409852847 -118.324911118891,34.1362894613497 -118.324618611672,34.1362898117366 -118.324598583671,34.1362991865643 -118.324063066055,34.1346770114905 -118.324046478169,34.1342977138351 -118.324042600825,34.1342918782981 -118.326619165013,34.1342910549715 -118.326980391852,34.1342514505368 -118.33134064289,34.1342273622474 -118.334227674711,34.1346322156721 -118.3343048473,34.1351199531481 -118.334615728939,34.1352257198858 -118.334609046659,34.1352278757709 -118.334608932777,34.1352300333331 -118.334608864438,34.1352321907693 -118.334608841634,34.1352343489839 -118.334608863284,34.1352365061679 -118.334608931549,34.1352386623274 -118.334609044262,34.1352408165578 -118.334609202503,34.1352429679606 -118.334609405184,34.1352451165297 -118.334609654473,34.1352472604682 -118.334609948195,34.1352494006775 -118.334610286353,34.1352515344501 -118.334610670021,34.1352536626935 -118.334611097034,34.1352557853987 -118.334611570645,34.1352578998701 -118.33461208759,34.1352600070063 -118.334612648956,34.1352621050042 -118.334613254738,34.1352641947683 -118.334613903854,34.1352662744926 -118.334614597381,34.1352683441801 -118.334615334235,34.1352704020307 -118.334616113325,34.1352724489369 -118.334616937906,34.1352744831108 -118.334617802551,34.1352765045402 -118.334618711597,34.1352785132313 -118.334619662874,34.1352805064793 -118.334620656373,34.1352824860905 -118.334621691016,34.1352844493631 -118.334622765709,34.1352863980913 -118.33462388371,34.1352883295825 -118.334625040673,34.1352902438306 -118.334626238765,34.1352921399342 -118.334627477984,34.1352940188037 -118.33462875508,34.1352958786302 -118.334630072215,34.135297718518 -118.334631427216,34.1352995393627 -118.334632822256,34.1353013384689 -118.33463425407,34.1353031167348 -118.334635723748,34.1353048741607 -118.334637231289,34.1353066098508 -118.33463877452,34.1353083219993 -118.33464035452,34.135310010612 -118.334641969119,34.1353116765846 -118.334643620489,34.1353133172214 -118.334645305368,34.1353149343224 -118.334647024846,34.1353165251862 -118.334648777829,34.1353180907142 -118.334650564321,34.1353196300079 -118.334652383232,34.1353211430703 -118.33465423348,34.1353226289969 -118.334656116144,34.1353240868922 -118.334658029054,34.1353255176546 -118.334659973296,34.1353269185857 -118.334661946692,34.1353282923899 -118.334663949252,34.1353296354642 -118.334665979877,34.1353309496116 -118.334668038576,34.1353322330321 -118.334670124256,34.1353334866242 -118.334672238005,34.1353347094954 -118.334674376568,34.1353359007441 -118.33467653994,34.1353370603674 -118.334678729206,34.1353381883712 -118.334680942197,34.135338505743 -118.33468158205,34.1353616258751 -118.334728370272,34.135363748088 -118.334732602737,34.1353666679016 -118.334738230485,34.1353696681278 -118.334743794588,34.1353727496651 -118.334749296135,34.1353759107195 -118.334754731866,34.135379149494 -118.334760099605,34.1353824659915 -118.334765398268,34.135385858409 -118.334770627848,34.1353893267556 -118.334775785093,34.1353928692312 -118.33478086891,34.1353964849433 -118.334785876045,34.1354001729843 -118.334790808661,34.1354039315633 -118.334795662415,34.1354056960866 -118.334797861696,34.1355796457291 -118.334908737491,34.1355807454611 -118.334909439027,34.1355863801547 -118.334910053569,34.1355918408875 -118.334910980743,34.135597314557 -118.33491179413,34.1356027984677 -118.334912490465,34.1356082926106 -118.334913073003,34.1356137933855 -118.33491353956,34.135619301691 -118.334913891223,34.135624812124 -118.334914125803,34.13563032738 -118.334914246563,34.135635842059 -118.334914250229,34.1356413561548 -118.33491413897,34.1356468678674 -118.334913911693,34.1356523753938 -118.334913568391,34.1356578778295 -118.334913110146,34.1356633715713 -118.334912535858,34.1357629102141 -118.334901084558,34.1357650600952 -118.334900860072,34.1357672134564 -118.334900681136,34.1357693684974 -118.334900546659,34.1357715252153 -118.334900457723,34.1357736836131 -118.334900413247,34.1357758409803 -118.334900415386,34.1357779982242 -118.334900461976,34.1357801553421 -118.334900554101,34.1357823105307 -118.334900691755,34.1357844628886 -118.334900874933,34.1357866133203 -118.334901102555,34.1357887591181 -118.334901375694,34.1357909011868 -118.33490169327,34.1357930386217 -118.334902056363,34.1357951696227 -118.334902463882,34.1357972941899 -118.334902915827,34.1357994123233 -118.334903412198,34.1358015231183 -118.334903954075,34.1358036256795 -118.334904539286,34.1358057191023 -118.334905168913,34.1358078033896 -118.334905841871,34.135809877637 -118.33490655924,34.135811940949 -118.334907318848,34.1358139933195 -118.334908122864,34.1358160329515 -118.334908969113,34.1358180607435 -118.334909858682,34.1358200748955 -118.334910790479,34.1358220754105 -118.334911763421,34.1358240613809 -118.334912779672,34.1358260328128 -118.334913837063,34.135827987903 -118.334914935589,34.1358299266547 -118.334916074164,34.1358318490647 -118.334917253872,34.1358337542347 -118.334918473627,34.1358356403614 -118.33491973342,34.135837509251 -118.334921032175,34.1358393581959 -118.334922370965,34.1358411881067 -118.334923746541,34.1358429962697 -118.334925162144,34.1358447853985 -118.334926614534,34.1358465527855 -118.334928104784,34.1358482975323 -118.334929631805,34.1358500196418 -118.334931194513,34.1358517200126 -118.334932793997,34.1358533968476 -118.334934428081,34.1358550483407 -118.334936097841,34.135856676301 -118.334937801117,34.1358582789194 -118.33493954007,34.1358598571095 -118.334941310366,34.1358614081578 -118.334943115247,34.1358618978847 -118.334943696165,34.1359091349497 -118.335000217669,34.1359116761454 -118.335003228885,34.1359163491899 -118.33500861868,34.1359210991372 -118.335013910122,34.1359259250979 -118.335019098872,34.1359308252627 -118.33502418709,34.135935799641 -118.335029171525,34.1359408446324 -118.335034049993,34.135945960237 -118.335038822494,34.1359511437534 -118.335043487933,34.1359563942919 -118.33504804197,34.1359617100465 -118.335052485682,34.1359670901188 -118.335056817981,34.1359725318101 -118.335061036687,34.1359780342251 -118.33506513963,34.135983594659 -118.335069126797,34.135989213118 -118.335072996022,34.1359948859959 -118.335076747288,34.1360006132928 -118.335080380596,34.1360063914176 -118.335083890511,34.1360122203643 -118.335087279202,34.1360180974282 -118.335090546656,34.1360240208156 -118.335093689615,34.1360299887292 -118.335096705903,34.136035999357 -118.335099598765,34.1361049231469 -118.335131922666,34.1361249616499 -118.333992793433,34.136290123684 -118.333880225796,34.1382075170436 -118.332573378226,34.1410256437743 -118.330652486888,34.1394427210064 -118.327857088241,34.1387415001393 -118.326618822196,34.1383881644596 -118.325994891394,34.1370726269084 -118.325993923699,34.1370351146067 -118.325867995899,34.1368617311015 -118.325689493858,34.1366605406458 -118.325359202963,34.1365409852847 -118.324911118891)));CAHUENGA PEAK PHASE |;9;9
